TIME,TEMP PV[C],TEMP SP[C],HUM PV[%rh],HUM SP[%rh],,BLACKOUT ON FEB-26 @ 15:27,,
2/17/2020 10:19,16.2,25,55,90,,,,
2/17/2020 10:19,16.2,25,55,90,,,,
2/17/2020 10:19,16.4,25,58,90,,,,
2/17/2020 10:19,17.3,25,60,90,,,,
2/17/2020 10:19,18.4,25,59,90,,,,
2/17/2020 10:20,19.3,25,58,90,,,,
2/17/2020 10:20,20.4,25,59,90,,,,
2/17/2020 10:20,21.7,25,60,90,,,,
2/17/2020 10:20,22.9,25.1,60,90,,,,
2/17/2020 10:20,23.9,25.1,58,90,,,,
2/17/2020 10:20,24.5,25.2,57,90,,,,
2/17/2020 10:21,25,25.2,56,90,,,,
2/17/2020 10:21,25.4,25.3,54,90,,,,
2/17/2020 10:21,25.6,25.3,53,90,,,,
2/17/2020 10:21,25.7,25.4,51,90,,,,
2/17/2020 10:21,25.8,25.4,50,90,,,,
2/17/2020 10:21,25.9,25.4,49,90,,,,
2/17/2020 10:22,25.9,25.5,48,90,,,,
2/17/2020 10:22,25.9,25.5,48,90,,,,
2/17/2020 10:22,25.9,25.6,47,90,,,,
2/17/2020 10:22,25.9,25.6,47,90,,,,
2/17/2020 10:22,25.9,25.7,46,90,,,,
2/17/2020 10:22,25.9,25.7,46,90,,,,
2/17/2020 10:23,25.9,25.8,46,90,,,,
2/17/2020 10:23,26,25.8,46,90,,,,
2/17/2020 10:23,26,25.8,46,90,,,,
2/17/2020 10:23,26,25.9,46,90,,,,
2/17/2020 10:23,26,25.9,46,90,,,,
2/17/2020 10:23,26.1,26,46,90,,,,
2/17/2020 10:24,26.1,26,46,90,,,,
2/17/2020 10:24,26.1,26.1,46,90,,,,
2/17/2020 10:24,26.2,26.1,46,90,,,,
2/17/2020 10:24,26.2,26.2,46,90,,,,
2/17/2020 10:24,26.3,26.2,46,90,,,,
2/17/2020 10:24,26.3,26.2,46,90,,,,
2/17/2020 10:25,26.3,26.3,46,90,,,,
2/17/2020 10:25,26.4,26.3,46,90,,,,
2/17/2020 10:25,26.4,26.4,46,90,,,,
2/17/2020 10:25,26.5,26.4,46,90,,,,
2/17/2020 10:25,26.5,26.5,46,90,,,,
2/17/2020 10:25,26.5,26.5,46,90,,,,
2/17/2020 10:26,26.6,26.6,46,90,,,,
2/17/2020 10:26,26.6,26.6,46,90,,,,
2/17/2020 10:26,26.7,26.6,46,90,,,,
2/17/2020 10:26,26.7,26.7,46,90,,,,
2/17/2020 10:26,26.8,26.7,46,90,,,,
2/17/2020 10:26,26.8,26.8,46,90,,,,
2/17/2020 10:27,26.8,26.8,46,90,,,,
2/17/2020 10:27,26.9,26.9,46,90,,,,
2/17/2020 10:27,26.9,26.9,46,90,,,,
2/17/2020 10:27,27,27,46,90,,,,
2/17/2020 10:27,27,27,46,90,,,,
2/17/2020 10:27,27.1,27,46,90,,,,
2/17/2020 10:28,27.1,27.1,46,90,,,,
2/17/2020 10:28,27.1,27.1,46,90,,,,
2/17/2020 10:28,27.2,27.2,46,90,,,,
2/17/2020 10:28,27.2,27.2,46,90,,,,
2/17/2020 10:28,27.3,27.3,46,90,,,,
2/17/2020 10:28,27.3,27.3,46,90,,,,
2/17/2020 10:29,27.4,27.4,46,90,,,,
2/17/2020 10:29,27.4,27.4,46,90,,,,
2/17/2020 10:29,27.5,27.4,46,90,,,,
2/17/2020 10:29,27.5,27.5,46,90,,,,
2/17/2020 10:29,27.5,27.5,46,90,,,,
2/17/2020 10:29,27.6,27.6,46,90,,,,
2/17/2020 10:30,27.6,27.6,46,90,,,,
2/17/2020 10:30,27.7,27.7,46,90,,,,
2/17/2020 10:30,27.7,27.7,46,90,,,,
2/17/2020 10:30,27.8,27.8,46,90,,,,
2/17/2020 10:30,27.8,27.8,47,90,,,,
2/17/2020 10:30,27.9,27.8,47,90,,,,
2/17/2020 10:31,27.9,27.9,49,90,,,,
2/17/2020 10:31,27.9,27.9,53,90,,,,
2/17/2020 10:31,28,28,61,90,,,,
